Resource Budget Analysis Report,,,
,,,
Resource Summary: ,,,
**   System MyCar_impl_Instance budgets over capacity: MIPS capacity 0.000 MIPS : MIPS budget 1.933 GIPS,,,
*   0 out of 1 with MIPS capacity,,,
  9 out of 9 with MIPS budget,,,
,,,
,,,
,,,
Detailed Processor MIPS Capacity Report ,,,
,,,
Component,Capacity,,
processor cc_mcu.cpu, 0.000 MIPS,,
Total, 0.000 MIPS,,
,,,
,,,
Detailed MIPS Budget Report ,,,
,,,
Component,Budget,Actual,Notes
device ui, 0.000 MIPS,0.000 MIPS,
device ud, 0.000 MIPS,0.000 MIPS,
device wrs, 0.000 MIPS,0.000 MIPS,
device bp, 0.000 MIPS,0.000 MIPS,
device act, 0.000 MIPS,0.000 MIPS,
    thread cc.computeThrottleSettingProcess.compute_throttle_setting,     0.000 MIPS,    600.000 MIPS,
  process cc.computeThrottleSettingProcess,   0.000 MIPS,  600.000 MIPS,
    thread cc.scanCCInputProcess.scan_cc_ports,     0.000 MIPS,    333.333 MIPS,
  process cc.scanCCInputProcess,   0.000 MIPS,  333.333 MIPS,
    thread cc.computeVelocityProcess.compute_velocity,     0.000 MIPS,    600.000 MIPS,
  process cc.computeVelocityProcess,   0.000 MIPS,  600.000 MIPS,
    thread cc.speedControlLoopProcess.speed_control_loop,     0.000 MIPS,    400.000 MIPS,
  process cc.speedControlLoopProcess,   0.000 MIPS,  400.000 MIPS,
system cc, 1.200 GIPS,1.933 GIPS,Error: subtotal/actual exceeds budget 1200.000 by 733.333 MIPS
Total, ,1933.333 MIPS,
